Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year
Staff Data Analyst,Contract,Entry,Junior,60000,Canadian Dollar,Canada,44753,Canada,Large,2020
AI Engineer,Full-Time,Entry,Junior,35000,United States Dollar,Germany,35000,Croatia,Medium,2023
AI Developer,Full-Time,Senior,Expert,50000,Euro,Italy,53984,Italy,Small,2023
Research Scientist,Full-Time,Mid,Intermediate,450000,United States Dollar,United States of America,450000,United States,Medium,2020
Applied Machine Learning Scientist,Full-Time,Mid,Intermediate,423000,United States Dollar,United States of America,423000,United States,Large,2021
Machine Learning Scientist,Full-Time,Senior,Expert,204500,United States Dollar,Canada,204500,Canada,Medium,2023
Machine Learning Scientist,Full-Time,Senior,Expert,142200,United States Dollar,Canada,142200,Canada,Medium,2023
Principal Data Scientist,Contract,Executive,Director,416000,United States Dollar,United States of America,416000,United States,Small,2021
Data Scientist,Full-Time,Senior,Expert,412000,United States Dollar,United States of America,412000,United States,Large,2020
Data Analytics Lead,Full-Time,Senior,Expert,405000,United States Dollar,United States of America,405000,United States,Large,2022
Machine Learning Engineer,Full-Time,Senior,Expert,392000,United States Dollar,United States of America,392000,United States,Medium,2023
Data Infrastructure Engineer,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,383910,United States Dollar,United States of America,383910,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,90000,British Pound Sterling,United Kingdom,110736,United Kingdom,Medium,2023
Data Engineer,Full-Time,Senior,Expert,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,131000,United States Dollar,Colombia,131000,Colombia,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,88000,United States Dollar,Colombia,88000,Colombia,Medium,2023
Applied Data Scientist,Full-Time,Senior,Expert,380000,United States Dollar,United States of America,380000,United States,Large,2022
Data Architect,Full-Time,Senior,Expert,376080,United States Dollar,United States of America,376080,United States,Medium,2023
Director of Data Science,Full-Time,Executive,Director,375500,United States Dollar,United States of America,375500,United States,Medium,2023
Machine Learning Software Engineer,Full-Time,Senior,Expert,375000,United States Dollar,United States of America,375000,United States,Medium,2022
Data Science Tech Lead,Full-Time,Senior,Expert,375000,United States Dollar,United States of America,375000,United States,Large,2022
Research Scientist,Full-Time,Senior,Expert,374000,United States Dollar,United States of America,374000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,1700000,Indian Rupee,India,20673,India,Large,2023
Data Analyst,Full-Time,Senior,Expert,60000,British Pound Sterling,United Kingdom,73824,United Kingdom,Medium,2023
Data Analyst,Full-Time,Senior,Expert,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023
Data Scientist,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,365630,United States Dollar,United States of America,365630,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,359170,United States Dollar,United States of America,359170,United States,Medium,2023
Director of Data Science,Full-Time,Executive,Director,353200,United States Dollar,United States of America,353200,United States,Medium,2023
Data Lead,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Large,2023
Data Scientist,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Medium,2022
Data Architect,Full-Time,Senior,Expert,345600,United States Dollar,United States of America,345600,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,150000,United States Dollar,Canada,150000,Canada,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,95000,United States Dollar,Canada,95000,Canada,Medium,2023
Research Scientist,Full-Time,Senior,Expert,345000,United States Dollar,United States of America,345000,United States,Medium,2023
Computer Vision Engineer,Full-Time,Senior,Expert,342810,United States Dollar,United States of America,342810,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,342300,United States Dollar,United States of America,342300,United States,Large,2023
Machine Learning Engineer,Full-Time,Senior,Expert,340000,United States Dollar,United States of America,340000,United States,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,340000,United States Dollar,United States of America,340000,United States,Medium,2023
Director of Data Science,Full-Time,Executive,Director,336400,United States Dollar,United States of America,336400,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,333500,United States Dollar,United States of America,333500,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023
Deep Learning Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023
