,Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year,Region
0,Staff Data Analyst,Contract,Entry,Junior,60000,Canadian Dollar,Canada,44753,Canada,Large,2020,North America
1,AI Engineer,Full-Time,Entry,Junior,35000,United States Dollar,Germany,35000,Croatia,Medium,2023,Europe
2,AI Developer,Full-Time,Senior,Expert,50000,Euro,Italy,53984,Italy,Small,2023,Europe
3,Research Scientist,Full-Time,Mid,Intermediate,450000,United States Dollar,United States of America,450000,United States,Medium,2020,North America
4,Applied Machine Learning Scientist,Full-Time,Mid,Intermediate,423000,United States Dollar,United States of America,423000,United States,Large,2021,North America
5,Machine Learning Scientist,Full-Time,Senior,Expert,204500,United States Dollar,Canada,204500,Canada,Medium,2023,North America
6,Machine Learning Scientist,Full-Time,Senior,Expert,142200,United States Dollar,Canada,142200,Canada,Medium,2023,North America
7,Principal Data Scientist,Contract,Executive,Director,416000,United States Dollar,United States of America,416000,United States,Small,2021,North America
8,Data Scientist,Full-Time,Senior,Expert,412000,United States Dollar,United States of America,412000,United States,Large,2020,North America
9,Data Analytics Lead,Full-Time,Senior,Expert,405000,United States Dollar,United States of America,405000,United States,Large,2022,North America
10,Machine Learning Engineer,Full-Time,Senior,Expert,392000,United States Dollar,United States of America,392000,United States,Medium,2023,North America
11,Data Infrastructure Engineer,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023,North America
12,ML Engineer,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023,North America
13,Data Analyst,Full-Time,Senior,Expert,385000,United States Dollar,United States of America,385000,United States,Medium,2023,North America
14,ML Engineer,Full-Time,Senior,Expert,383910,United States Dollar,United States of America,383910,United States,Medium,2023,North America
15,Data Engineer,Full-Time,Senior,Expert,90000,British Pound Sterling,United Kingdom,110736,United Kingdom,Medium,2023,Europe
16,Data Engineer,Full-Time,Senior,Expert,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023,Europe
17,Data Engineer,Full-Time,Mid,Intermediate,131000,United States Dollar,Colombia,131000,Colombia,Medium,2023,South America
18,Data Engineer,Full-Time,Mid,Intermediate,88000,United States Dollar,Colombia,88000,Colombia,Medium,2023,South America
19,Applied Data Scientist,Full-Time,Senior,Expert,380000,United States Dollar,United States of America,380000,United States,Large,2022,North America
20,Data Architect,Full-Time,Senior,Expert,376080,United States Dollar,United States of America,376080,United States,Medium,2023,North America
21,Director of Data Science,Full-Time,Executive,Director,375500,United States Dollar,United States of America,375500,United States,Medium,2023,North America
22,Machine Learning Software Engineer,Full-Time,Senior,Expert,375000,United States Dollar,United States of America,375000,United States,Medium,2022,North America
23,Data Science Tech Lead,Full-Time,Senior,Expert,375000,United States Dollar,United States of America,375000,United States,Large,2022,North America
24,Research Scientist,Full-Time,Senior,Expert,374000,United States Dollar,United States of America,374000,United States,Medium,2023,North America
25,Data Engineer,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023,North America
26,Data Analyst,Full-Time,Entry,Junior,1700000,Indian Rupee,India,20673,India,Large,2023,Asia
27,Data Analyst,Full-Time,Senior,Expert,60000,British Pound Sterling,United Kingdom,73824,United Kingdom,Medium,2023,Europe
28,Data Analyst,Full-Time,Senior,Expert,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023,Europe
29,Data Scientist,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023,North America
30,Research Engineer,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023,North America
31,Research Scientist,Full-Time,Senior,Expert,370000,United States Dollar,United States of America,370000,United States,Medium,2023,North America
32,ML Engineer,Full-Time,Senior,Expert,365630,United States Dollar,United States of America,365630,United States,Medium,2023,North America
33,Data Scientist,Full-Time,Senior,Expert,359170,United States Dollar,United States of America,359170,United States,Medium,2023,North America
34,Director of Data Science,Full-Time,Executive,Director,353200,United States Dollar,United States of America,353200,United States,Medium,2023,North America
35,Data Lead,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Medium,2023,North America
36,Applied Scientist,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Large,2023,North America
37,Data Scientist,Full-Time,Senior,Expert,350000,United States Dollar,United States of America,350000,United States,Medium,2022,North America
38,Data Architect,Full-Time,Senior,Expert,345600,United States Dollar,United States of America,345600,United States,Medium,2022,North America
39,Machine Learning Engineer,Full-Time,Senior,Expert,150000,United States Dollar,Canada,150000,Canada,Medium,2023,North America
40,Machine Learning Engineer,Full-Time,Senior,Expert,95000,United States Dollar,Canada,95000,Canada,Medium,2023,North America
41,Research Scientist,Full-Time,Senior,Expert,345000,United States Dollar,United States of America,345000,United States,Medium,2023,North America
42,Computer Vision Engineer,Full-Time,Senior,Expert,342810,United States Dollar,United States of America,342810,United States,Medium,2023,North America
43,Machine Learning Engineer,Full-Time,Senior,Expert,342300,United States Dollar,United States of America,342300,United States,Large,2023,North America
44,Machine Learning Engineer,Full-Time,Senior,Expert,340000,United States Dollar,United States of America,340000,United States,Medium,2023,North America
45,Research Scientist,Full-Time,Mid,Intermediate,340000,United States Dollar,United States of America,340000,United States,Medium,2023,North America
46,Director of Data Science,Full-Time,Executive,Director,336400,United States Dollar,United States of America,336400,United States,Medium,2023,North America
47,Data Engineer,Full-Time,Executive,Director,333500,United States Dollar,United States of America,333500,United States,Medium,2023,North America
48,Machine Learning Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023,North America
49,Deep Learning Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023,North America
50,Data Engineer,Full-Time,Senior,Expert,331640,United States Dollar,United States of America,331640,United States,Medium,2023,North America
51,Head of Machine Learning,Full-Time,Executive,Director,330000,United States Dollar,United States of America,330000,United States,Medium,2023,North America
52,Machine Learning Engineer,Full-Time,Senior,Expert,330000,United States Dollar,United States of America,330000,United States,Medium,2023,North America
53,AI Architect,Full-Time,Senior,Expert,330000,United States Dollar,United States of America,330000,United States,Medium,2023,North America
54,Head of Data Science,Full-Time,Executive,Director,330000,United States Dollar,United States of America,330000,United States,Medium,2023,North America
55,Head of Data,Full-Time,Executive,Director,329500,United States Dollar,United States of America,329500,United States,Medium,2023,North America
56,Machine Learning Engineer,Full-Time,Senior,Expert,328133,United States Dollar,United States of America,328133,United States,Medium,2023,North America
